"","airport","max_T","min_T","diff_max_T","diff_min_T","Quality"
"267","KSUX",89,68,-2.16519230867419,-3.61545867056113,0.95
"268","KSYR",82,57,2.69413459018931,7.09701527189118,0.85
"272","KTLH",98,76,-5.99509337271505,-3.47126500883491,0.85
"273","KTOL",79,56,6.35278995347248,8.08105530697948,0.9
"275","KTRI",87,67,0.724902146551386,-0.73514522248081,0.95
"276","KTUL",93,75,3.53756410381185,-1.64052431685177,0.8
"277","KTUS",101,78,-0.240145005086873,0.250215368682859,0.95
"278","KTYS",88,72,0.755469396,-2.268791125,0.95
"279","KVBG",71,56,-5.58396119811447,-2.994046632081,0.821428571428571
"280","KVPS",94,74,-6.143144732,-0.343839997,0.9
"281","KWRB",98,71,-6.187029578,1.280548651,0.9
"284","LBPD",84,60,3.78152455504528,3.71023776420766,0.9
"287","LCLK",92,74,-0.734503010228522,-3.00731654346171,0.95
"289","LDZA",87,52,-2.67819423224852,8.63062251234769,0.8
"290","LEAL",86,76,1.61762673805816,-2.95993283588514,0.85
"291","LEBL",82,74,-1.09217096909521,-3.02767605851494,0.95
"292","LEMD",99,66,-7.716216925,-4.173635376,0.85
"297","LFBO",80,67,2.23297097183463,-3.7184109350611,0.95
"298","LFML",90,67,-3.66660597890058,0.732143857573476,0.95
"301","LFPG",81,59,-6.58310380146541,-0.564079374511401,0.9
"302","LFPO",82,55,-8.19104691883371,2.48661640663216,0.9
"303","LFSB",89,52,-11.7195991080509,5.90813118722154,0.9
"306","LGTS",88,69,2.80804136300389,0.874136017878101,0.9
"307","LHBP",80,48,4.97384497236466,13.3962974329118,0.85
"311","LIEE",87,69,0.861642982300566,1.19464408825026,0.95
"313","LIME",88,65,-3.67950407425514,1.16089731487475,0.9
"315","LIMJ",86,77,-4.85501290586531,-5.4013869440669,0.95
"317","LIMZ",87,64,-5.79081971974246,-2.32858460796696,0.65
"320","LIPX",89,62,-0.764734018,6.561968688,0.9
"326","LJLJ",84,53,-3.64599850122613,4.45886071082379,0.8
"328","LLBG",86,72,2.838590233,1.356858331,0.9
"332","LPFR",96,67,-10.6813286018674,0.382824100691778,0.9
"334","LPPD",73,66,-0.597970464868752,-2.10063168990573,0.85
"336","LPPT",80,62,-0.01574084,1.110579494,0.9
"342","LTAF",90,74,1.37646930926375,-0.708561639470531,0.85
"346","LTBA",82,72,4.36046854054968,-0.335420595812636,0.95
"349","LTCE",84,48,-0.309472530829197,3.04453843532681,0.9
"350","LTCG",82,72,-2.17379092685971,-1.03410751455448,0.907142857142857
"352","LTFE",98,66,-3.17446076113235,0.754076781461933,0.75
"359","MKJP",90,77,-1.04087998129945,0.999706443667293,0.95
"360","MMAA",93,76,-3.303611387,0.145178262,0.85
"361","MMGL",78,64,1.278286936,-2.183322393,0.95
"363","MMMX",73,55,0.557381052,2.759515686,0.85
"364","MMMY",93,69,-2.019871479,2.337192746,0.85
"367","MMTJ",73,59,6.24505460133142,3.09044760186323,0.9
"369","MPTO",93,77,-6.67993207648628,-1.96440602133356,0.85
"370","MUHA",89,71,1.02238319210795,-0.391202944597367,0.8
"372","MWCR",90,80,-0.862361194750775,-0.264776530993558,0.95
"373","MYNN",91,76,0.521131905,2.522562975,0.95
"375","NCRG",82,71,-4.05700108729435,-3.23276748160208,0.8
"377","NZCH",46,24,6.37715104214796,9.4606617775114,0.9
"379","OBBI",101,89,1.53733413514159,0.902888103903535,0.9
"383","OEMA",109,86,2.286218058,2.567474308,0.9
"384","OERK",110,78,0.19139084115389,4.50004703119112,0.95
"387","OIMM",96,67,2.59293019257592,4.92092677106362,0.728571428571429
"391","OKBK",117,96,-1.7273700127087,-5.56677776568303,0.9
"392","OLBA",87,73,1.06300844653336,2.46846288360102,0.9
"394","OMDB",102,86,5.53682945091916,6.65705074026209,0.85
"401","ORMM",117,89,2.21331429609647,-4.21962675131722,0.45
"404","OSLK",85,75,1.85423703204933,-3.37590752896787,0.85
"408","PHNL",90,78,-2.59165611576005,-3.24048859812331,0.95
"409","PR20",89,75,-0.782250732,-0.159481911,0.9
"412","RCTP",89,78,4.11590763148138,1.40881333274181,0.95
"414","RJBB",82,73,3.6864224158717,3.00231801009954,0.85
"415","RJCC",84,57,-11.9157846023444,4.11074520002362,0.7
"422","RJTY",89,68,-1.83203984837088,5.60227623033408,0.871428571428571
"424","RKJK",89,75,-8.37154758161918,-1.4053714714847,0.871428571428571
"425","RKPC",78,71,5.550200212,3.056625884,0.95
"426","RKPK",86,73,-3.15475948775287,0.734547430130306,0.95
"427","RKSI",89,77,-8.71357547022474,-6.13790152051503,0.7
"431","ROAH",86,80,1.368674417,0.417335711,0.8
"435","RPMD",88,80,1.182656894,-4.260019274,0.65
"439","SBBR",81,58,-3.22566002273579,-2.68840306347469,0.95
"441","SBCT",68,55,-2.78721011668125,-5.828482274808,0.95
"442","SBFL",76,62,-6.88987365010058,-5.6153619413663,0.9
"445","SBSP",64,60,6.10397180550227,-3.97050534567567,0.914285714285714
"448","SELT",65,45,0.319109315059691,0.0242844791542396,0.714285714285714
"451","SPIM",71,64,-4.51119158365279,-2.88730356188199,0.95
"461","UDYZ",96,71,-1.20726584928457,-1.97325987026618,0.55
"465","UKFF",75,62,10.8092713662701,0.536531423403432,0.6
"467","UKOO",74,61,9.03274623884442,4.12128658330937,0.85
"470","UNKL",62,46,13.2491687265527,7.63930074302726,0.65
"475","UUDD",68,55,13.91793971,1.983329157,0.85
"477","UUWW",68,53,10.5637533135061,7.33760739268293,0.9
"478","UWUU",79,64,1.343301745,-7.700661815,0.65
"482","VCBI",87,78,-1.30125271837456,0.413468656763627,0.9
"485","VDSR",95,80,-5.25684323,-2.164385833,0.4
"486","VECC",93,81,-0.152258754,-1.131855545,0.8
"489","VIDP",78,75,17.3622145735099,6.38047024083076,0.9
"490","VMMC",94,79,-5.54442927047226,1.11916203417707,0.9
"501","VVDN",93,80,1.72158319187798,-2.64602385371532,0.8
"502","VVNB",87,75,5.30879889923983,3.01671638163289,0.842857142857143
"506","WAAA",93,72,-2.062406749,-0.550791292,0.8
"509","WBSB",92,73,-2.34691497922252,0.651060121047067,0.764285714285714
"510","WIII",89,75,0.549480178807357,-1.75477480068437,0.8
"514","YMML",55,41,1.35908574345315,1.97166180535812,0.9
"517","YSSY",68,43,-3.895399637,5.269019881,0.8
"518","ZBAA",95,73,-6.65424569082511,-2.80480392473365,0.8
"521","ZGGG",96,76,1.02696542381877,3.99763129792791,0.85
"526","ZHCC",89,73,2.086063468,0.02690787,0.55
"538","ZSPD",75,73,15.0845414676822,6.04997595800947,0.65
"541","ZUCK",95,73,-3.40514975841904,3.94390848780111,0.65
"542","ZUGY",84,62,1.0293834336003,6.29918436643187,0.507142857142857
"543","ZUUU",93,71,-6.55713420581847,2.95997804008084,0.9
