"","Quality","variable","value"
"586","(0.4,0.6]","diff_min_T",0.536531423403432
"587","(0.8,1]","diff_min_T",4.12128658330937
"588","(0.6,0.8]","diff_min_T",7.63930074302726
"589","(0.8,1]","diff_min_T",1.983329157
"590","(0.8,1]","diff_min_T",7.33760739268293
"591","(0.6,0.8]","diff_min_T",-7.700661815
"592","(0.8,1]","diff_min_T",0.413468656763627
"593","(0.2,0.4]","diff_min_T",-2.164385833
"594","(0.6,0.8]","diff_min_T",-1.131855545
"595","(0.8,1]","diff_min_T",6.38047024083076
"596","(0.8,1]","diff_min_T",1.11916203417707
"597","(0.6,0.8]","diff_min_T",-2.64602385371532
"598","(0.8,1]","diff_min_T",3.01671638163289
"599","(0.6,0.8]","diff_min_T",-0.550791292
"600","(0.6,0.8]","diff_min_T",0.651060121047067
"601","(0.6,0.8]","diff_min_T",-1.75477480068437
"602","(0.8,1]","diff_min_T",1.97166180535812
"603","(0.6,0.8]","diff_min_T",5.269019881
"604","(0.6,0.8]","diff_min_T",-2.80480392473365
"605","(0.8,1]","diff_min_T",3.99763129792791
"606","(0.4,0.6]","diff_min_T",0.02690787
"607","(0.6,0.8]","diff_min_T",6.04997595800947
"608","(0.6,0.8]","diff_min_T",3.94390848780111
"609","(0.4,0.6]","diff_min_T",6.29918436643187
"610","(0.8,1]","diff_min_T",2.95997804008084
